We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
This, Madam President, is the hypocrisy of the left. ||| Das, Frau Präsidentin, ist die Scheinheiligkeit der Linken.
So we condemn that hypocrisy and the double standards, especially of the British government and the other largely socialist heads of EU governments and include that of the United States. ||| Wir verurteilen diese Scheinheiligkeit und das zweierlei Maß, mit dem hier gemessen wird, vor allem bei der britischen Regierung und bei den anderen überwiegend sozialdemokratischen Regierungschefs der EU, und schließen den Regierungschef der USA mit ein.
We should recognise, however, that the democratic process sometimes produces uncomfortable results. ||| Wir sollten uns jedoch klarmachen, daß der demokratische Prozeß manchmal zu unbequemen Ergebnissen führt.
This requires action to address the underlying causes, including an examination of the electoral process itself. ||| Dies erfordert Maßnahmen, um die zugrundeliegenden Ursachen, einschließlich einer Prüfung des Wahlverfahrens, anzugehen.
That should be our task, not political posturing. ||| Das sollte unsere Aufgabe sein und nicht politische Schaumschlägerei.
Madam President, Representative of the Council, Commissioner, a week ago, the big international Holocaust Conference ended in Stockholm. ||| Frau Präsidentin, Vertreter des Rates, Herr Kommissar!
Its aim was to combat the forgetfulness and the evil in today' s society which takes the form of xenophobia and neo-nazism. ||| Vor einer Woche wurde in Stockholm die große internationale Konferenz über die Vernichtung beendet, deren Ziel es war, gegen das Vergessen und gegen das Böse in der heutigen Gesellschaft in Form von Fremdenfeindlichkeit und Neonazismus anzukämpfen.
It would be an insult to the idea behind this conference and to the whole of the international community to invite, at this time, into the institutions of the EU, a xenophobic party which flirts with Nazi ideas. ||| Es wäre ein Hohn gegen den Grundgedanken dieser Konferenz und die gesamte internationale Gemeinschaft, in diesen Zeiten eine Partei in die Organe der Union einzuladen, die mit dem Nazismus flirtet und fremdenfeindlich auftritt.
Secondly, I want to say that we must be consistent in our own behaviour and in our evaluations. ||| Zum zweiten möchte ich erklären, daß wir uns selbst und unseren Wertvorstellungen gegenüber konsequent sein müssen.
We demand of the candidate States and of the countries with which the EU cooperates under the Lomé Agreement that they should respect human rights and show tolerance towards their neighbours. ||| Wir erwarten von den Beitrittskandidaten und den über den Kooperationsvertrag von Lomé verbundenen Ländern die Achtung der Menschenrechte und Toleranz gegenüber dem Nächsten.
We must do the same as far as we ourselves are concerned. ||| Dasselbe müssen wir jedoch auch von uns selbst fordern.
That is why we are reacting against this carry-on in Austria. ||| Aus diesem Grund protestieren wir gegen diese Geheimnistuerei, die in Österreich vor sich geht.
It is not acceptable to continue as if nothing had happened. ||| Wir können nicht einfach weitermachen, als ob nichts geschehen wäre.
We are at a watershed in the history of the European Union. ||| Die EU steht jetzt vor einem Scheideweg.
The Union is not only an economic community but also a community of values, something which we take seriously. Something has happened. ||| Sie ist nicht nur eine Wirtschaftsgemeinschaft, sondern auch eine wichtige Wertegemeinschaft.
The European Union is in the process of finding its soul and getting some steel in its spine. ||| Es ist etwas geschehen: Die Union beginnt, Rückgrat und Seele zu bekommen.
Madam President, as everyone has said, this is a very important day. It is the day of the first debate of European political life. ||| Frau Präsidentin, alle haben es unterstrichen: Heute ist ein sehr bedeutender Tag, der Tag der ersten Debatte im politischen Leben Europas.
And this is not pure chance. ||| Und das ist kein Zufall.
I feel that today' s meeting is not a meeting of Europe, our institutions, with Austria or Mr Haider' s party. ||| Dabei geht es heute nicht um das Verhältnis Europas, unserer Institutionen zu Österreich oder zur Partei von Herrn Haider.
It is the meeting of Europe with itself, with its raison d' être, with the reasons why we are here in this Chamber. ||| Ich denke, heute geht es um Europa selbst, um seine Daseinsberechtigung, um die Gründe, warum wir heute hier in diesem Parlament sitzen.
This Chamber was not made for goods, it was not made for money. ||| Dieses Parlament steht nicht für Geld und Güter.
This Chamber, and the European institutions, were build to uphold values, morality and a certain spirit. ||| Dieses Parlament und die europäischen Institutionen stehen für Werte, für eine Moral und für einen Geist.
In the twentieth century, we have had experience of the fact that democracies can find themselves at risk, and morality, values and the spirit which I mentioned can be mortally affected by viruses which have just one name: nationalist glorification, populism and the concept of racial superiority. ||| Nun haben wir im zwanzigsten Jahrhundert die Erfahrung gemacht, daß die Demokratien in Gefahr geraten können, daß diese Moral, diese Werte und dieser Geist durch Viren mit den Namen fanatischer Nationalismus, Populismus und Rassismus tödlich befallen werden können.
The fact is that it is enough to read the manifesto of Mr Haider' s party, the FPÖ, to find nationalist glorification, populism and racial superiority in every chapter. ||| Man braucht bloß das Programm der Partei von Herrn Haider, der FPÖ, zu lesen. In jedem Kapitel stößt man auf fanatischen Nationalismus, Populismus und Rassismus.
Reading only one sentence which my friend, Mr Vidal-Quadras, has previously mentioned, "The nation is defined by its location, culture and race, locally, ethnically and culturally." ||| Ich zitiere nur einen Satz, auf den mein Freund Vidal-Quadras vorhin bereits verwiesen hat: "Der Heimatbegriff wird in räumlicher, ethnischer und kultureller Hinsicht definiert, hinsichtlich des Raumes, der Kultur und der Rasse. "
Well, we cannot accept such statements. ||| Und derartige Erklärungen können wir nicht akzeptieren.
If Europe has any meaning, and - my friends will pardon me telling them - if Christian democracy has any meaning, if the history of Christian democracy has any meaning, then it must declare itself radically opposed to the statements made in this manifesto and, whatever excellent reasons are given whenever history serves the same dish up again, must reject any agreement with this type of ideology and this type of organisation. ||| Wenn Europa einen Sinn haben soll, und - verzeihen Sie mir, wenn ich das meinen politischen Freunden sage - wenn Christdemokratie einen Sinn hat, wenn die Geschichte der Christdemokratie einen Sinn hat, dann muß sie sich ganz klar und unmißverständlich von den Aussagen dieses Programms abgrenzen und sich weigern, wie viele gute Gründe auch dafür sprechen mögen, mit einer Organisation dieser Art und Ideologie eine Vereinbarung abzuschließen.
This is the reason why I feel that the European Parliament, which has more freedom of action and more freedom to speak than the Council or the Commission, must pay tribute to those people in the various States and European institutions who had the courage to say no, and it must say, Madam President, that you made a statement on our behalf which does us credit, and in clear terms declare, without prevarication, its opposition to and condemnation of imminent events in Austria, recalling the statement made on the day of the Munich Agreement by a great French Christian Democrat who said that, if you are going to have to say no, then the best time to do so is right at the beginning. ||| Deshalb glaube ich, muß das Europäische Parlament, das in bezug auf seine Äußerungen und Handlungen unabhängiger ist als der Rat oder die Kommission, den Staaten und europäischen Institutionen Anerkennung aussprechen, die den Mut hatten, nein zu sagen; zu sagen, was Sie, Frau Präsidentin, in unserem Namen erklärt haben; eine Erklärung, die uns ehrt und klar und ohne Umschweife zum Ausdruck bringt, daß wir das, was sich in Österreich anbahnt, ablehnen und verurteilen. Wir sollten uns an das erinnern, was ein großer französischer Christdemokrat am Tag des Münchener Abkommens sagte: "Wenn es darum geht, nein zu sagen - am besten sofort. "
(Applause) ||| (Beifall)
Madam President, we the Belgian Christian Democrats are concerned as, fortunately, are a great many other Members too. ||| Wir machen uns Sorgen. Wir, das sind die belgischen Christdemokraten und erfreulicherweise auch noch sehr viele andere Kolleginnen und Kollegen.
The coalition which is being created in one of the Member States is clearly an Austrian affair but undoubtedly has a European dimension too. ||| Die Koalition, die in einem der Mitgliedstaaten vorbereitet wird, ist gewiß eine österreichische Angelegenheit, sie hat aber unbestreitbar auch eine europäische Dimension.
Because what is it that unites us in Europe? Surely it is the values and principles of freedom, democracy and respect for human rights, more than anything. ||| Denn was uns in Europa verbindet, sind an erster Stelle doch die Werte und Grundsätze der Freiheit, der Demokratie und der Achtung der Menschenrechte.
The Austrian Freedom Party leader, Mr Haider, has repeatedly repudiated these values. ||| Der Vorsitzende der Freiheitlichen Partei Österreichs, Jörg Haider, hat mehrfach seine Mißachtung dieser Werte zum Ausdruck gebracht.
He also repudiates the basic forms of diplomatic politeness. ||| Er mißachtet auch die elementaren Formen der diplomatischen Höflichkeit.
He is a dangerous man. ||| Er ist ein gefährlicher Mann.
The Christian Democratic parties in my country have made up their minds a long time ago and they stick to their decision to listen to the protests of extreme-right voters but never to negotiate with extreme-right leaders. ||| Die christdemokratischen Parteien in meinem Land haben sich bereits seit langem entschieden und sie bleiben auch dabei: Sie nehmen die Proteste der Wähler von extrem rechts zwar zur Kenntnis, verhandeln aber niemals mit Führern von extrem rechts.
Values should take precedence over power. ||| Werte müssen höher stehen als Macht.
We deplore, therefore, what is happening in Austria. In fact, we were shaken by it. ||| Wir bedauern die Vorgänge in Österreich nicht nur, wir sind aufgewühlt und tief enttäuscht.
We are extremely disappointed. As a last resort, we would ask the ÖVP to look into alternatives. ||| Wir fordern die ÖVP auf, letztendlich doch noch andere Lösungen zu prüfen.
We keep reminding them about Article 6 of the Treaty. ||| Wir kommen immer wieder auf Artikel 6 des Vertrags zurück.
We continue to fight against the trivialisation of the extreme right. ||| Wir kämpfen nach wie vor gegen die Verharmlosung der extremen Rechten.
If, despite this, the coalition goes ahead, we would urge the ÖVP party members to ensure that the principles and values which underlie European integration are observed in political programmes, both in word and deed. ||| Sollte die Koalition doch zustande kommen, appellieren wir an unsere Kolleginnen und Kollegen der ÖVP, sowohl in Programmen als auch mit Wort und Tat für die Achtung der Grundsätze und Werte zu bürgen, die das Fundament der europäischen Integration bilden.
Madam President, Austria awaits a heavy responsibility. ||| Österreich steht vor einer großen Verantwortung.
Madam President, it is clear that we in this Parliament are very largely agreed on rejecting Mr Haider and his politics, but it is equally clear that opinion differs as to the most effective way of opposing this brand of politics. ||| Frau Präsidentin, meine Damen und Herren! Es ist offenkundig, daß wir in diesem Parlament in der Ablehnung von Haider und seiner Politik sehr weitgehend übereinstimmen, aber es ist auch ebenso klar, daß wir in der Frage, wie diese Politik am wirksamsten bekämpft werden kann, unterschiedliche Auffassungen haben.
Have you stopped to ask what kind of effect the debate we are having here and the statement delivered by the Council Presidency last weekend are having in Austria itself? ||| Haben Sie sich einmal gefragt, wie diese Debatte hier und die Erklärung der Ratspräsidentschaft vom vergangenen Wochenende in Österreich selbst wirken?
Have you stopped to ask whether or not we will also be responsible for the way in which the political situation unfolds from now if we set ourselves up to pass judgement on it here? ||| Haben Sie sich einmal die Frage gestellt, ob wir nicht auch dafür Verantwortung tragen, wie die politische Lage sich in Österreich weiter entwickelt, wenn wir uns hier zum Urteil darüber aufschwingen?
Have you stopped to ask what would happen if the wish of a certain fellow MEP was to be fulfilled and elections were to be held in Austria in the course of the next few days? ||| Haben Sie sich einmal gefragt, was geschähe, wenn der Wunsch einer Kollegin erfüllt würde und in den nächsten Tagen Wahlen in Österreich stattfänden?
From all accounts, this would only serve to strengthen Haider. ||| Nach übereinstimmender Auskunft aller Beobachter würde Haider noch stärker werden.
Who would want this to happen? ||| Wer kann denn dies wollen?
Is it not our responsibility to give thought to how we should tackle this brand of politics? ||| Haben wir nicht die Verantwortung, zu erwägen, wie wir diese Politik bekämpfen?
Europe is a community of law. ||| Europa ist eine Gemeinschaft des Rechts.
Democracy, respect for human rights and rule of law are amongst the principles that we must uphold. ||| Zu den Grundsätzen, die wir zu vertreten haben, gehören Demokratie, Achtung der Menschenrechte und Rechtsstaatlichkeit.
One of the precepts of democracy is that we should not disapprove of electoral outcomes but respect them, and that is why we must respect the fact that the Austrians, by virtue of their political culture, voted as they did. ||| Zum Demokratiegebot gehört, daß man Wahlentscheidungen nicht gut finden, aber respektieren muß, und deswegen müssen wir respektieren, wenn sich die Österreicher aus Gründen, die in ihrer Politik liegen, so entscheiden, wie sie sich entschieden haben.
It is for reasons of constitutionality that the President-in-Office of the Council ought not to have made the statement he did, and in a manner that goes against the Treaty. ||| Es ist eine Frage der Rechtsstaatlichkeit, daß der Ratsvorsitz sich nicht so äußert, wie er es getan hat, in einer Art und Weise, die dem Vertragswerk widerspricht.
It would be politically astute not to isolate the ÖVP but to support it as an undeniably democratic, constitutional and well-known European party, so as to be equally certain that Austria will continue to be a Member of this European Community, and that is why we must give the ÖVP our support in this difficult situation, and isolation would be altogether the wrong line to take! ||| Es ist eine Frage der politischen Klugheit, die ÖVP nicht zu isolieren, sondern die ÖVP als eine zweifellos demokratische, rechtsstaatliche und ausgewiesen europäische Partei dabei zu unterstützen, daß Österreich ebenso zweifelsfrei ein Mitglied dieser Europäischen Gemeinschaft bleibt, und deswegen müssen die ÖVP-Kollegen unsere Unterstützung haben in dieser schwierigen Situation, und Isolation ist absolut der falsche Weg!
(Applause) ||| (Beifall)
Madam President, they say, where I come from, 'it' s three times for a Welshman' , and three times, as I think you will discover in the course of that debate, I signified my desire to respond very briefly to what has been an excellent, and on several occasions, a moving debate. ||| Frau Präsidentin, bei mir zu Hause sagt man: "ein Waliser braucht drei Anläufe ", und dreimal habe ich, wie sie im Verlauf dieser Debatte werden feststellen können, den Wunsch geäußert, kurz auf diese ausgezeichnete und mitunter bewegende Debatte eingehen zu können.
First of all, could I express my thanks on behalf of President Prodi and my colleagues in the Commission for the support and understanding offered by several Members of the House to the position taken by the Commission in the statement that we made yesterday. ||| Zunächst einmal möchte ich mich im Namen von Präsident Prodi und meinen Kollegen in der Kommission für die Unterstützung und das Verständnis bedanken, das eine ganze Reihe von Abgeordneten dieses Hauses der Position der Kommission entgegengebracht hat, die wir in unserer gestrigen Erklärung zum Ausdruck gebracht haben.
I must respond also to the fact, of course, that there were references during the debate - and I use some of the words employed - to the ambiguity, the complacency and the fragility of the Commission' s opinion. ||| Ich muß natürlich auch darauf reagieren, daß im Verlaufe der Debatte - und ich greife auf einige verwendete Begriffe zurück - von der Zweideutigkeit, der Selbstgefälligkeit und dem vorsichtigen Verhalten der Kommission die Rede gewesen ist.
I am duty- bound to say to this House, there is no ambiguity or fragility or complacency in the opinion offered, or indeed the action taken, by the Commission on this issue. ||| Ich fühle mich verpflichtet, diesem Haus gegenüber klarzustellen, daß die Position der Kommission oder auch die Maßnahmen, die die Kommission in dieser Angelegenheit ergriffen hat, keinerlei Züge von Zweideutigkeit oder vorsichtigem Verhalten oder Selbstgefälligkeit tragen.
We made explicit reference yesterday morning in our statement, as did the President this afternoon, to the fact that we share the concern demonstrated by fourteen Member States in their statement on Monday. ||| Erstens haben wir gestern morgen in unserer Erklärung ebenso wie der Präsident heute nachmittag ausdrücklich darauf hingewiesen, daß wir die Bedenken teilen, die die vierzehn Mitgliedstaaten in ihrer Erklärung vom Montag geäußert haben.
Secondly, we said, in very specific terms, that we will work closely with all Member States in examining the situation as it develops in Austria. ||| Zweitens haben wir sehr deutlich gesagt, daß wir bei der Prüfung der weiteren Entwicklung der Situation in Österreich eng mit den Mitgliedstaaten zusammenarbeiten werden.
Thirdly, we expressed, in very explicit terms, that we will uphold without fear or favour the values and the provisions of Article 6 of the Treaty; and that we will take our part under Article 7 of the Treaty in ensuring that those values of liberty and democracy and fundamental freedoms are upheld. ||| Drittens haben wir unmißverständlich klargestellt, daß wir unparteiisch sind, an den Werten und Bestimmungen von Artikel 6 des Vertrags festhalten und gemäß Artikel 7 des Vertrags unsererseits dafür Sorge tragen werden, daß diese Werte der Freiheit, der Demokratie und der Grundfreiheiten gewahrt bleiben.
There is no complacency, no fragility and no ambiguity about any of that at all. ||| Daran ist keine Spur von Selbstgefälligkeit, vorsichtigem Verhalten und Zweideutigkeit.
And, when I say that the Commission took that view, I include my dear colleague Franz Fischler, who is from Austria; and who, once again, demonstrated his integrity and his independence as a Member of the European Commission, under oath, in being part of that statement that we made yesterday morning. ||| Und wenn ich sage, daß die Kommission diese Meinung vertreten hat, dann schließe ich damit auch meinen lieben Kollegen Franz Fischler mit ein, der aus Österreich kommt und wieder einmal seine Integrität und seine Unabhängigkeit als vereidigtes Mitglied der Europäischen Kommission unter Beweis gestellt hat, indem er sich unserer Stellungnahme von gestern morgen anschloß.
Anyone, therefore, who invites Franz Fischler to his house to somehow account for the fact that his nationality is Austrian, should examine their own motives in the context of a debate, which has been necessarily shadowed by references to xenophobia and even more lethal evils in this world. ||| Wer Franz Fischler in dieses Haus einlädt, um irgendwie an der Tatsache sein Mütchen zu kühlen, daß er österreichischer Nationalität ist, sollte seine Beweggründe vor dem Hintergrund einer Debatte überprüfen, die unweigerlich von Hinweisen auf Fremdenfeindlichkeit und auf noch viel tödlichere Übel dieser Welt überschattet war.
I say that in friendship and honour to my friend and colleague, Franz Fischler. ||| Ich sage dies aus Freundschaft und Respekt gegenüber meinem Freund und Kollegen, Franz Fischler.
Could I also say, Madam President, that the understanding of the presidency, the Portuguese presidency, for our position, was absolutely demonstrated in the clearest terms by Mr Da Costa when he said, and I quote him, that 'Portugal and the other Member States want to ensure that the working of the Community machine is not affected by the current situation' . ||| Darf ich noch hinzufügen, Frau Präsidentin, daß die Unterstützung der Präsidentschaft, der portugiesischen Präsidentschaft, für unsere Position ganz klar in den Worten von Herrn Da Costa zum Ausdruck kam, als er sagte, und ich zitiere: "So wollen wir gewährleisten, daß die Funktionsweise des Gemeinschaftssystems nicht von der gegenwärtigen Lage beeinträchtigt wird. "
That surely is in everyone' s interests. ||| Das ist sicherlich in jedermanns Interesse.
In order to ensure that the Treaty is upheld and that we sustain what was described as the Community machine, we are following the course of action which was set down in our statement yesterday. ||| Um zu gewährleisten, daß der Vertrag unangetastet bleibt und wir das, was wir als den Gemeinschaftsapparat bezeichneten, in Gang halten, schlagen wir den Weg ein, den wir gestern in unserer Erklärung vorgezeichnet haben.
We will continue to do that, Madam President, without fear or favour. ||| Wir werden diesen Weg, Frau Präsidentin, auch weiterhin ohne jegliche Parteinahme fortsetzen.
That is our duty. ||| Das ist unsere Pflicht.
It is also a matter of conviction. ||| Es ist aber auch eine Frage der Überzeugung.
My final point is this. We understand the context of this essential debate. ||| Meine letzte Bemerkung ist folgende: Wir können erkennen, vor welchem Hintergrund sich diese entscheidende Debatte abspielt.
There are several people here who like myself for many years past have become familiar with Herr Haider' s offensive statements, the xenophobia of many of his policy elements and the strategy that he has developed of alternating aggressive statements with apologies, sometimes on successive days. ||| Es gibt hier einige Mitglieder, denen ebenso wie mir über viele Jahre hinweg die anstößigen Erklärungen von Herrn Haider, die Fremdenfeindlichkeit in vielen seiner politischen Aussagen und die von ihm entwickelte Strategie vertraut geworden ist, auf aggressive Erklärungen manchmal schon am nächsten Tag Entschuldigungen folgen zu lassen.
We understand that, and we recall too the sometimes short and selective memory that he has of Nazism. ||| Wir wissen darum und wir erinnern uns auch seines manchmal kurzen und selektiven Gedächtnisses, wenn es um den Nazismus geht.
And, when we recall that, like many others on all sides of this House, my and my colleagues' instincts are naturally aroused. ||| Und wenn wir uns wie viele andere auf allen Seiten des Hauses all das in Erinnerung rufen, dann wird natürlich mein Instinkt und der Instinkt meiner Kollegen geweckt.
However, the Commission has to act on the basis of values and law and not only on the basis of instinct. ||| Aber die Kommission muß sich von Werten und vom Recht und nicht nur vom Instinkt leiten lassen.
And that is why we came to the conclusion we reached yesterday morning. ||| Und das hat uns zu der Schlußfolgerung veranlaßt, zu der wir gestern morgen gelangt sind.
That is why we sustain that conclusion as we continue to uphold the values and the law. ||| Das ist der Grund, weshalb wir an dieser Schlußfolgerung festhalten, wenn wir die Werte und das Recht auch in Zukunft verteidigen.
Without fragility, without complacency, without ambiguity, but in the service of the whole Union and every Member State of the Union and its people. ||| Ohne Schwäche, ohne Selbstgefälligkeit, ohne Zweideutigkeit, aber im Dienste der gesamten Union und jedes einzelnen Mitgliedstaats und seiner Bürger.
We will continue to do that with energy and with consistency and as Mr Cox said in the debate, 'necessarily with acute vigilance' . ||| Und wir werden dies auch weiterhin energisch und konsequent und, wie Herr Cox in der Aussprache sagte, gezwungenermaßen mit äußerster Wachsamkeit fortsetzen.
I wonder, since Mr Da Costa has been listening to these remarks from the back of the Chamber, whether Mr Kinnock could confirm that the Commission supports the view explicitly stated by Mr Da Costa today and in the recent statement by the Presidency on behalf of the heads of government. ||| Da Herr Da Costa diesen Ausführungen von den hinteren Reihen des Hauses aus zugehört hat, frage ich mich, ob Herr Kinnock bestätigen könnte, daß die Kommission die Haltung, die Herr Da Costa heute und in der jüngsten Erklärung der Präsidentschaft im Namen der Regierungschefs deutlich zum Ausdruck gebracht hat, unterstützt.
Does the Commission support the Council? ||| Unterstützt die Kommission den Rat?
Madam President, when the Commission said yesterday morning that it notes the views expressed as a joint statement by fourteen Member States and shares the concern that gave rise to that view, I think it can be taken for granted that since yesterday morning, as soon as the Commission could discuss the issue, it has had a view consistent with that of fourteen of the Member States. ||| Frau Präsidentin, nachdem die Kommission gestern morgen erklärte, sie nehme die Haltung, die in einer gemeinsamen Erklärung der vierzehn Mitgliedstaaten zum Ausdruck gebracht wurde, zur Kenntnis und teile die Bedenken, die Anlaß für diese Erklärung gewesen sind, kann meiner Meinung nach davon ausgegangen werden, daß die Kommission seit gestern morgen, d. h. sobald sie Gelegenheit hatte, die Frage zu erörtern, eine Position vertritt, die mit der Haltung der vierzehn Mitgliedstaaten übereinstimmt.
Thank you, Commissioner Kinnock. ||| Vielen Dank, Herr Kommissar Kinnock.
I think that we have just had a great political debate, equal to the situation and to what could be expected of it. ||| Ich denke, wir hatten eine große politische Debatte, die der Situation und auch den Erwartungen gerecht wurde.
Thank you, ladies and gentlemen. ||| Ich danke Ihnen, liebe Kolleginnen und Kollegen.
The debate on topical and urgent subjects of major importance is closed. ||| Die Debatte über aktuelle, dringliche und wichtige Fragen ist damit geschlossen.
The vote will take place at 11 a.m. tomorrow. ||| Die Abstimmung findet morgen um 11 Uhr statt.
Recourse to the precautionary principle ||| Rückgriff auf das Vorsorgeprinzip
The next item is the Commission statement on recourse to the precautionary principle. ||| Nach der Tagesordnung folgt die Mitteilung der Kommission zum Vorsorgeprinzip.
I want to start by saying that I am pleased to be presenting this communication on the use of the precautionary principle, and it has been written together with David Byrne and Erkki Liikanen. ||| Ich möchte vorausschicken, daß ich mich freue, diese Mitteilung über den Rückgriff auf das Vorsorgeprinzip, die ich zusammen mit David Byrne und Erkki Liikanen erarbeitet habe, vorstellen zu können.
The precautionary principle is not a new concept. ||| Das Vorsorgeprinzip ist kein neues Konzept.
It has been used by the Community for some time now in a range of policy areas, environmental, human, animal and plant health; and it is explicitly mentioned in the environmental provisions of the EC Treaty since Maastricht. ||| Es wird von der Gemeinschaft schon seit einiger Zeit in vielen verschiedenen Politikbereichen, der Umwelt, der Gesundheit von Menschen, Tieren und Pflanzen, eingesetzt und seit Maastricht ausdrücklich in den Umweltbestimmungen des EG-Vertrags erwähnt.
It also appears in a range of international texts, for example, the Rio Declaration and most recently the Bio-Safety Protocol. ||| Auch in einer Reihe internationaler Texte, wie beispielsweise der Erklärung von Rio und zuletzt im Protokoll über Biosicherheit findet es Erwähnung.
The essence of the precautionary principle is clear. ||| Die Kernaussage des Vorsorgeprinzips ist klar.
It involves taking action in a given policy area when the science is not clear, but where there are reasonable grounds for concern that the potential risks are big enough to require action. ||| Es besagt, daß in einem gegebenen politischen Bereich Maßnahmen ergriffen werden, wenn die wissenschaftlichen Zusammenhänge noch nicht abgeklärt sind, aber stichhaltige Gründe für die Befürchtung vorliegen, daß das potentielle Risiko groß genug ist, um Maßnahmen erforderlich zu machen.
However, the use of the precautionary principle has been increasingly in the spotlight in recent years. ||| Die Frage der Verwendung des Vorsorgeprinzips ist jedoch in den letzten Jahren besonders ins Lampenlicht gerückt.
Events such as the BSE and dioxin crisis have stimulated a growing public debate about the circumstances in which precautionary action is justified and necessary. ||| Ereignisse wie die BSE- und die Dioxin-Krise haben in der Öffentlichkeit zunehmend eine Diskussion über die Umstände entfacht, unter denen vorbeugende Maßnahmen gerechtfertigt und notwendig erscheinen.
In view of this growing interest, the Commission therefore considered that it would be useful to present a communication to set out its position on the use of the precautionary principle. ||| Angesichts dieses wachsenden Interesses hielt es die Kommission für hilfreich, eine Mitteilung vorzulegen, um ihren Standpunkt über den Einsatz des Vorsorgeprinzips darzulegen.
The basic aim of the communication is twofold. ||| Die Mitteilung verfolgt im wesentlichen zwei Ziele.
To explain in a clear and coherent way how the Commission applies, and intends to apply, the precautionary principle in its management of risk and to set out guidelines for its application based on reasoned and coherent principles. ||| Einmal soll auf verständliche und kohärente Art und Weise erläutert werden, wie die Kommission das Vorsorgeprinzip bei ihrem Risikomanagement anwendet und anzuwenden gedenkt, und zum anderen sollen Leitlinien für den Rückgriff auf dieses Prinzip auf der Grundlage von begründeten und kohärenten Kriterien aufgestellt werden.
We also hope that the communication will help to build a better common understanding of how to manage risks and to dispel fears that the precautionary principle might be used in an arbitrary way or as a disguised form of trade protectionism. ||| Wir hoffen außerdem, daß die Mitteilung dazu beitragen wird, die Möglichkeiten des Risikomanagements besser zu verstehen und Befürchtungen auszuräumen, das Vorsorgeprinzip könnte willkürlich oder als versteckte Form des Handelsprotektionismus eingesetzt werden.
The Commission' s starting point in applying the precautionary principle is the need to ensure a high level of protection in the fields of environmental, human, animal and plant health. ||| Ausgangspunkt für die Anwendung des Vorsorgeprinzips ist für die Kommission die Notwendigkeit, in den Bereichen Umweltschutz und Gesundheit von Menschen, Tieren und Pflanzen ein hohes Maß an Sicherheit zu gewährleisten.
Of course, this objective cannot be used to justify irrational or arbitrary measures, but it does mean that action can still be taken even in situations where the science is unclear. ||| Natürlich darf dieses Ziel nicht zur Rechtfertigung von vernunftwidrigen oder willkürlichen Maßnahmen herangezogen werden, es bedeutet jedoch, daß auch dann Maßnahmen ergriffen werden können, wenn die wissenschaftlichen Zusammenhänge unklar sind.
As such, while the precautionary principle does not involve the politicisation of science, as some have alleged, it does take us to the crossroads between science and politics. ||| Zwar ist das Vorsorgeprinzip als solches nicht mit einer Politisierung der Wissenschaft verbunden, wie dies einige behauptet haben, es führt uns jedoch in den Grenzbereich zwischen Wissenschaft und Politik.
The initial decision to apply the precautionary principle depends largely on the level of protection sought and the level of risk that decision-makers are prepared to accept for society. ||| Die erste Entscheidung zur Anwendung des Vorsorgeprinzips hängt weitgehend davon ab, welches Maß an Schutz man anstrebt und welches Risiko die Entscheidungsträger für die Gesellschaft zu akzeptieren bereit sind.
It is therefore political by nature. ||| Aus diesem Grund ist es von Natur aus politisch.
However, the measures that may subsequently be taken must obviously comply with the general principles applicable to risk management and the guidelines for applying the precautionary principle are therefore the key element of the paper. ||| Aber die Maßnahmen, die dann möglicherweise ergriffen werden, müssen natürlich mit den allgemeinen Grundsätzen des Risikomanagements übereinstimmen; aus diesem Grund stellen die Leitlinien für den Rückgriff auf das Vorsorgeprinzip das Schlüsselelement in diesem Dokument dar.
Measures taken must be proportional to the chosen level of protection - that is, we do not use the sledgehammer to crack a nut. ||| Die ergriffenen Maßnahmen müssen im Verhältnis zum angestrebten Schutzniveau stehen, d. h. wir schießen nicht mit der Kanone auf Spatzen.
They must be non-discriminatory in their application, that is measures should not differentiate on the basis of geographical origin. ||| Sie dürfen in ihrer Anwendung nicht diskriminierend wirken, d. h. die Maßnahmen dürfen nicht nach geographischem Ursprung unterscheiden.
And they must be consistent with similar measures already taken. ||| Und sie müssen mit ähnlichen, bereits getroffenen Maßnahmen in Einklang stehen.
For example, if one product has been approved, similar products should also be approved. ||| Wenn beispielsweise ein Produkt zugelassen wurde, müssen vergleichbare Produkte ebenfalls zugelassen werden.
Measures are based on an examination of the potential benefits and costs of action or lack of action; that is, the measures should be cost-effective and subject to review in the light of new scientific data and be clear about who is responsible for producing the scientific evidence necessary for a more comprehensive risk assessment, that is the burden of proof. ||| Den Maßnahmen geht eine Bewertung des potentiellen Nutzens und der Kosten einer Aktion bzw. des Verzichts auf eine Aktion voraus; d. h. die Maßnahmen müssen kostengünstig sein und im Lichte neuer wissenschaftlicher Daten überprüft werden. Außerdem muß klar sein, wer im Falle einer umfassenderen Risikobewertung für die Erbringung der erforderlichen wissenschaftlichen Beweise verantwortlich ist, wer also die Beweislast trägt.
All these elements have to apply cumulatively. ||| All diese Elemente müssen kumulativ angewendet werden.
